фио;почта;телефон;дата рождения;адрес;организация;должность;вид трудоустройства;дата приема
Петухов Владимир Андреевич;valerian21@kopylov.ru;(812) 199-55-61;01.10.1979;964963, Ярославская область, город Клин, спуск Ленина, 11;ООО Компания Лифт;Ведущий программист;стажировка;25.09.1988
Логинов Тимофей Андреевич;taras.trofimov@ustinov.com;(35222) 91-0575;12.12.1992;073893, Воронежская область, город Чехов, пер. Чехова, 91;ЗАО СтройОбл;Аналитик;основное;21.12.1995
Тимофей Фёдорович Бирюков;zkarpov@fedoseev.ru;+7 (922) 442-6274;28.05.1997;378632, Саратовская область, город Сергиев Посад, пл. Будапештсткая, 43;ООО КрепАвто;Руководитель направления;основное;24.06.2002
Стефан Владимирович Некрасов;dary69@saskov.ru;(812) 886-34-59;13.02.1980;906268, Липецкая область, город Серебряные Пруды, проезд Ладыгина, 75;ООО Компания АлмазСантехЛифт;Пилот;по совместительству;24.07.1985
Мясникова Владлена Максимовна;tstepanov@karpov.com;(812) 381-26-72;13.02.1975;417343, Рязанская область, город Зарайск, пер. Балканская, 04;ЗАО ЛифтТекстильТяж;Пилот;основное;07.12.1987
Виктория Владимировна Хохлова;alena.lytkin@odintov.ru;(35222) 04-9497;19.07.1979;174331, Волгоградская область, город Люберцы, бульвар Чехова, 71;ЗАО Электро;Бортпроводник;основное;20.12.1987
Дина Владимировна Шарапова;nikolai.kopylov@borisov.com;8-800-571-5223;15.04.1990;054079, Ярославская область, город Пушкино, пл. Балканская, 29;ЗАО Электро;Руководитель направления;стажировка;28.08.1994
Бобылёв Артур Евгеньевич;mariy92@dyckov.net;(495) 582-9144;05.09.1994;044597, Иркутская область, город Красногорск, ул. Чехова, 03;ООО ЛифтЛифтРос;Аналитик;основное;17.06.1998
Борисов Вячеслав Владимирович;tersov@terentev.ru;(35222) 70-4345;17.01.1987;088952, Ярославская область, город Орехово-Зуево, пр. Домодедовская, 06;ЗАО Текстиль;Младший программист;по совместительству;26.05.2005
Никонов Валерий Андреевич;lazarev.yroslav@sorokin.ru;+7 (922) 088-2151;17.01.1987;295171, Владимирская область, город Шаховская, въезд Гагарина, 10;ООО Компания Бух;Программист;стажировка;15.07.1997
Емельянов Юлий Романович;omelnikov@polykov.com;(35222) 70-2031;17.03.1977;864947, Московская область, город Егорьевск, спуск Ладыгина, 45;ООО Казань;Бортпроводник;стажировка;01.12.1985
Давид Сергеевич Мясников;mark53@fokin.ru;8-800-682-9058;15.08.1972;610993, Пензенская область, город Щёлково, въезд Сталина, 71;ЗАО МетизТранс;Руководитель направления;стажировка;17.07.1986
Татьяна Андреевна Королёва;wfomicev@zimin.ru;+7 (922) 636-7281;07.02.1993;285684, Рязанская область, город Талдом, шоссе 1905 года, 64;ОАО ТекстильУрал;Аналитик;основное;22.11.2000
Карпова Евгения Фёдоровна;tzinovev@ilin.com;8-800-756-0541;16.11.1984;364108, Новгородская область, город Дмитров, спуск Гагарина, 89;ОАО ТекстильУрал;Младший программист;основное;23.12.1973
Кулагина Инесса Евгеньевна;anzelika82@burov.com;8-800-237-5154;04.03.1970;884554, Архангельская область, город Зарайск, пл. Будапештсткая, 23;ООО Тверь;Младший программист;стажировка;25.11.1987
Эмма Дмитриевна Горшкова;vadim.sazonov@konovalov.com;(812) 807-54-44;26.04.1982;244381, Пензенская область, город Истра, въезд Будапештсткая, 48;ЗАО ЛифтТекстильТяж;Технолог;стажировка;23.06.1995
Бурова Лариса Владимировна;kirill43@kotov.net;+7 (922) 435-4883;27.07.1992;648514, Магаданская область, город Видное, въезд Ладыгина, 53;ООО МетизМетиз;Бортпроводник;стажировка;07.03.1974
Марат Андреевич Блохин;izabella.fomin@potapov.com;(495) 695-1829;03.01.1971;522153, Воронежская область, город Сергиев Посад, пл. Ленина, 80;ОАО КазаньТяжБашкирЛизинг;Аналитик;стажировка;02.11.1992
Чернова Софья Евгеньевна;sofy.savelev@kiselev.ru;+7 (922) 178-0958;24.12.1985;686309, Воронежская область, город Зарайск, ул. Космонавтов, 64;ОАО ТекстильУрал;Пилот;основное;14.11.2004
Зоя Александровна Уварова;terentev.mariy@bespalov.ru;(495) 460-7283;28.12.1994;502609, Ростовская область, город Орехово-Зуево, шоссе Балканская, 36;ООО Компания Цемент;Пилот;стажировка;07.08.1985
Марина Владимировна Сорокина;spartak65@vlasov.ru;(495) 682-5952;08.08.1990;679557, Ярославская область, город Солнечногорск, бульвар Будапештсткая, 96;ОАО ТекстильУрал;Технолог;основное;28.12.1999
Ксения Фёдоровна Блохина;vikentii92@bragin.net;8-800-940-7080;24.02.1988;578224, Волгоградская область, город Серебряные Пруды, проезд Славы, 80;ОАО ЛифтСантехГараж;Аналитик;по совместительству;24.07.1984
Стефан Владимирович Некрасов;jsiryev@dorofeev.ru;(777) 101-25-59;13.02.1988;906268, Новосибирская область, город Искитим, проезд Лаврьентева, 75;ООО Тверь;Аналитик;основное;21.02.1991
Лариса Дмитриевна Емельянова;kapitolina59@gerasimov.net;(812) 077-62-79;06.03.1980;888671, Московская область, город Пушкино, проезд Гагарина, 26;ОАО Гараж;Программист;по совместительству;17.08.1988
Антонова Таисия Борисовна;jcernov@uvarov.ru;(35222) 33-8870;28.09.1999;385320, Воронежская область, город Красногорск, пер. Будапештсткая, 89;ЗАО Электро;Пилот;стажировка;19.11.2012
Андрей Борисович Моисеев;degorov@titov.com;+7 (922) 725-9370;18.09.1986;445772, Тверская область, город Видное, въезд Гоголя, 13;ЗАО ХозТрансКрепТраст;Бортпроводник;стажировка;14.10.1992
Ярослава Львовна Игнатова;stefan62@zaitev.org;+7 (922) 237-5469;02.08.1974;234648, Иркутская область, город Мытищи, пл. Чехова, 72;ОАО Сантех;Бортпроводник;основное;12.12.1981
Дина Владимировна Шарапова;nikolai.kopylov@borisov.com;8-800-571-5223;15.04.1990;054079, Ярославская область, город Пушкино, пл. Балканская, 29;ЗАО Электро;Руководитель направления;стажировка;28.08.1994
Владимир Андреевич Фомин;nkomarov@ovcinnikov.com;(35222) 21-6742;08.01.1978;347174, Тульская область, город Волоколамск, наб. Гоголя, 98;ОАО БашкирАлмаз;Технолог;основное;20.03.1984
Лукин Бронислав Фёдорович;zuravlev.klementina@evdokimov.ru;+7 (922) 353-0047;02.11.1996;309162, Тверская область, город Егорьевск, въезд Домодедовская, 69;ОАО БашкирАсбоцементАлмаз;Руководитель направления;основное;21.03.2016
Валериан Андреевич Кудрявцев;rybakov.eva@teterin.net;(812) 916-39-09;18.05.1999;774788, Московская область, город Шаховская, пр. Домодедовская, 30;ОАО ТекстильУрал;Руководитель направления;стажировка;06.07.2012
Родионов Герасим Алексеевич;vlad09@gavrilov.org;+7 (922) 824-1825;29.01.1994;527647, Тверская область, город Егорьевск, бульвар Ладыгина, 03;ЗАО Лифт;Технолог;стажировка;12.07.2015
Матвей Андреевич Харитонов;rodion.sestakov@nesterov.ru;(812) 863-16-75;10.01.1993;961359, Волгоградская область, город Домодедово, пл. 1905 года, 34;ОАО ТекстильУрал;Руководитель направления;основное;03.11.1971
Зыкова Кристина Владимировна;eva.artemev@isakov.ru;(35222) 20-3874;17.05.1999;962996, Кемеровская область, город Луховицы, наб. Космонавтов, 51;ОАО ТекстильУрал;Младший программист;стажировка;09.12.2000
Маргарита Дмитриевна Галкина;emma45@timofeev.org;(35222) 55-4672;30.07.1992;752083, Мурманская область, город Наро-Фоминск, въезд Чехова, 49;ООО Тверь;Ведущий программист;по совместительству;19.11.2014
